   4.5000000000000000                  (0.53812049861079814,0.23606623415388509)
   4.6000000000000005                  (0.51723758857418289,0.15987168791426803)
   4.7000000000000002             (0.50476185967294795,8.43790935356402427E-002)
   4.8000000000000007             (0.50005774029406636,9.29125692123748161E-003)
   4.9000000000000004            (0.50288784701555145,-6.57506496976726362E-002)
   5.0000000000000000                 (0.51339484166184923,-0.14111182367600525)
   5.1000000000000005                 (0.53211235915797317,-0.21711061888721878)
   5.2000000000000002                 (0.56000516666316391,-0.29395030807663630)
   5.3000000000000007                 (0.59853835999976301,-0.37161449728440243)
   5.4000000000000004                 (0.64977168966162158,-0.44969488862435603)
   5.5000000000000000                 (0.71646279653260980,-0.52710286618093516)
   5.6000000000000005                 (0.80213097889590446,-0.60159166511345219)
   5.7000000000000002                 (0.91095847620446957,-0.66899166160999268)
   5.8000000000000007                  (1.0472514144566292,-0.72207465629048073)
   5.9000000000000004                  (1.2139137840357781,-0.74913037064406052)
   6.0000000000000000                  (1.4090959197605677,-0.73293020078117388)
   6.1000000000000005                  (1.6204590004323300,-0.65211806105599202)
   6.2000000000000002                  (1.8189270322302062,-0.48869164092300899)
   6.3000000000000007                  (1.9594165915258388,-0.24336254084781461)
   6.4000000000000004              (1.9983031132694364,5.03947002128395244E-002)
   6.5000000000000000                   (1.9216860391200687,0.33366932454946990)
   6.6000000000000005                   (1.7561854843935851,0.55342021104484196)
   6.7000000000000002                   (1.5489749482302479,0.68783138731221771)
   6.8000000000000007                   (1.3407404597161918,0.74448945354657181)
   6.9000000000000004                   (1.1544366205919734,0.74388593966642558)
   7.0000000000000000                  (0.99811333332527652,0.70643608038252304)
   7.1000000000000005                  (0.87149883161052666,0.64748421211967933)
   7.2000000000000002                  (0.77095347367661005,0.57707321276853940)
   7.3000000000000007                  (0.69210656134287230,0.50125255761099508)
   7.4000000000000004                  (0.63096873397134978,0.42343786195509053)
   7.5000000000000000                  (0.58427769703663557,0.34541746858660605)
   7.6000000000000005                  (0.54952116875795742,0.26800909920240334)
   7.7000000000000002                  (0.52485103883726192,0.19146407662544432)
   7.8000000000000007                  (0.50897991895380423,0.11570985652582878)
   7.9000000000000004             (0.50109434052192170,4.04951233211298944E-002)
   8.0000000000000000            (0.50079518135638934,-3.45207190886464149E-002)
   8.0999999999999996                 (0.50806737027805837,-0.10970642857074417)
   8.2000000000000011                 (0.52327873219052934,-0.18540685678380542)
   8.3000000000000007                 (0.54720795242639053,-0.26188318976987940)
   8.4000000000000004                 (0.58110183911186875,-0.33922656388830730)
   8.5000000000000000                 (0.62676017090881864,-0.41721869032574244)
   8.5999999999999996                 (0.68663861608389531,-0.49509909680111980)
