   4.9000000000000004           (-0.18711490634853714,-2.77227560083247206E-002)
   5.0000000000000000           (-0.22402100562819000,-1.50177629095262248E-003)
   5.1000000000000005            (-0.26208795943516944,3.92781484718282975E-002)
   5.2000000000000002            (-0.29673945592467871,9.79541261686234649E-002)
   5.3000000000000007                 (-0.32117188254609474,0.17678191837408666)
   5.4000000000000004                 (-0.32638892508122802,0.27574277630103888)
   5.5000000000000000                 (-0.30180852853183315,0.39110618705016742)
   5.6000000000000005                 (-0.23672094796267434,0.51398498371811663)
   5.7000000000000002                 (-0.12282288147804728,0.62938184819811094)
   5.8000000000000007             (4.22451778879315981E-002,0.71652880890247594)
   5.9000000000000004                  (0.25106283791010270,0.75142554288445951)
   6.0000000000000000                  (0.48380650715600032,0.71204156773708915)
   6.1000000000000005                  (0.70881657118724484,0.58547307917575409)
   6.2000000000000002                  (0.88777269095653566,0.37477606901895816)
   6.3000000000000007                  (0.98503040897469996,0.10221748733612267)
   6.4000000000000004                 (0.97822632779952401,-0.19361179803435891)
   6.5000000000000000                 (0.86581932637125336,-0.46682491116226066)
   6.6000000000000005                 (0.66810379373249251,-0.67631287021162534)
   6.7000000000000002                 (0.42116882454533472,-0.79613523546737008)
   6.8000000000000007                 (0.16649524950983327,-0.82042154515909016)
   6.9000000000000004           (-5.95579533404191966E-002,-0.76174956957365458)
   7.0000000000000000                (-0.23284896640492969,-0.64476372913873681)
   7.1000000000000005                (-0.34371785198134464,-0.49815783617229392)
   7.2000000000000002                (-0.39509344453128381,-0.34782759080440445)
   7.3000000000000007                (-0.39824759088326311,-0.21271691287207362)
   7.4000000000000004                (-0.36808198313016655,-0.10353556777971222)
   7.5000000000000000           (-0.31926788429362429,-2.36488404066622707E-002)
   7.6000000000000005            (-0.26382554126461721,2.88689621260799327E-002)
   7.7000000000000002            (-0.21013588668974889,5.89221953431261700E-002)
   7.8000000000000007            (-0.16303349495619293,7.24272754951759135E-002)
   7.9000000000000004            (-0.12451884955045950,7.49672507812752242E-002)
   8.0000000000000000       (-9.46782334321603913E-002,7.10825071066293196E-002)
   8.0999999999999996       (-7.25311478040256696E-002,6.40593770835622134E-002)
   8.2000000000000011       (-5.66692301138786922E-002,5.60288856921677195E-002)
   8.3000000000000007       (-4.56615609740179812E-002,4.82093948341586406E-002)
   8.4000000000000004       (-3.82637157057930388E-002,4.11782387435461333E-002)
   8.5000000000000000       (-3.34899377957595737E-002,3.51087897303327887E-002)
   8.5999999999999996       (-3.06053048714706594E-002,2.99482459030773890E-002)
   8.7000000000000011       (-2.90812016465570762E-002,2.55359918921162464E-002)
   8.8000000000000007       (-2.85416257318321723E-002,2.16746398945989599E-002)
   8.9000000000000004       (-2.87147601685265839E-002,1.81690454354234143E-002)
   9.0000000000000000       (-2.93956156777932034E-002,1.48464260175876512E-002)
   9.0999999999999996       (-3.04208749806274235E-002,1.15664716756463549E-002)
   9.2000000000000011       (-3.16549017028376761E-002,8.22620749373936810E-003)
   9.3000000000000007       (-3.29848918295635729E-002,4.76137434238999881E-003)
   9.4000000000000004       (-3.43225530818862881E-002,1.14446197833539712E-003)
   9.5000000000000000      (-3.56092714052478054E-002,-2.62077815053528024E-003)
   9.6000000000000014      (-3.68218367982797237E-002,-6.50780171702688721E-003)
   9.7000000000000011      (-3.79767011178326896E-002,-1.04773258344549123E-002)
   9.8000000000000007      (-3.91318875388914425E-002,-1.44872161854740136E-002)
   9.9000000000000004      (-4.03865920988936561E-002,-1.85004023098398855E-002)
   10.000000000000000      (-4.18793314258537677E-002,-2.24891035142311159E-002)
   10.100000000000001      (-4.37861246688313402E-002,-2.64340691567245580E-002)
   10.200000000000001      (-4.63202553489738336E-002,-3.03181744298603138E-002)
   10.300000000000001      (-4.97345367842896152E-002,-3.41141090223683607E-002)
   10.400000000000000      (-5.43259676593174853E-002,-3.77657725581231965E-002)
   10.500000000000000      (-6.04414459568091422E-002,-4.11624086419009327E-002)
   10.600000000000001      (-6.84817558470776772E-002,-4.41037391297469245E-002)
   10.700000000000001      (-7.88990575237052127E-002,-4.62538360972480911E-002)
   10.800000000000001      (-9.21803152887500782E-002,-4.70818490651483679E-002)
   10.900000000000000           (-0.10880555897937932,-4.57898722403727518E-002)
   11.000000000000000           (-0.12916626227258085,-4.12331786314459325E-002)
   11.100000000000001           (-0.15342694999639525,-3.18466409286899885E-002)
